Row,Header,Timestamp,URL
0,Resources Visit California,2016-12-24,http://www.visitcalifornia.com/node/16026/more-resources?source=28241&interests=71%2B66
1,Resources Visit California,2017-09-26,http://www.visitcalifornia.com/node/16026/more-resources?source=26071&interests=76
2,Resources Visit California,2016-12-26,http://www.visitcalifornia.com/node/16026/more-resources?source=26291&interests=76
3,Resources Visit California,2016-12-26,http://www.visitcalifornia.com/node/16026/more-resources?source=40401&interests=76
4,Resources Visit California,2016-12-26,http://www.visitcalifornia.com/node/16026/more-resources?source=68506&interests=86
5,Resources Visit California,2016-12-26,http://www.visitcalifornia.com/node/16026/more-resources?source=68586&interests=86
6,Resources Visit California,2016-12-26,http://www.visitcalifornia.com/node/16026/more-resources?source=68696&interests=86
7,Resources Visit California,2017-09-26,http://www.visitcalifornia.com/node/16026/more-resources?source=26346&interests=86%2B76
8,Resources Visit California,2017-09-26,http://www.visitcalifornia.com/node/16026/more-resources?source=27691&interests=86%2B76
9,Spotlight Santa Barbara Visit California,2016-12-25,http://www.visitcalifornia.com/node/16031
10,Spotlight Santa Barbara Visit California,2017-12-20,http://www.visitcalifornia.com/node/16031
11,Destaque Santa Barbara Visit California,2016-12-25,http://www.visitcalifornia.com/node/16036
12,Spotlight Santa Barbara Visit California,2016-12-25,http://www.visitcalifornia.com/node/16041
13,Spotlight Santa Barbara Visit California,2016-12-25,http://www.visitcalifornia.com/node/16046
14,Focus Santa Barbara Visit California,2016-12-25,http://www.visitcalifornia.com/node/16051
15,Santa Barbara Visit California,2016-12-25,http://www.visitcalifornia.com/node/16056
16,Santa Barbara Visit California,2017-12-25,http://www.visitcalifornia.com/node/16056
17,Santa Barbara Visit California,2019-02-26,https://www.visitcalifornia.com/node/16056
18,Spotlight Santa Barbara Visit California,2016-12-25,http://www.visitcalifornia.com/node/16061
19,Spotlight Santa Barbara Visit California,2017-12-25,http://www.visitcalifornia.com/node/16061
20,Visit California,2016-12-25,http://www.visitcalifornia.com/node/16066
21,Spotlight Visit California,2016-12-25,http://www.visitcalifornia.com/node/16071
22,Spotlight Visit California,2017-12-20,http://www.visitcalifornia.com/node/16071
23,Spotlight Visit California,2016-12-25,http://www.visitcalifornia.com/node/16076
24,Spotlight Visit California,2017-09-26,http://www.visitcalifornia.com/node/16076
25,Spotlight Visit California,2017-12-20,http://www.visitcalifornia.com/node/16076
26,8 Top Places Whale Watching Visit California,2016-12-21,http://www.visitcalifornia.com/node/16081
27,8 Top Places Whale Watching Visit California,2016-12-26,http://www.visitcalifornia.com/node/16081/interest/71
29,8 lugares principais para observar baleias Visit California,2016-12-21,http://www.visitcalifornia.com/node/16086
30,8 lugares principais para observar baleias Visit California,2016-12-27,http://www.visitcalifornia.com/node/16086/interest/71
32,Les 8 meilleurs sites pour observer les baleines Visit California,2016-12-21,http://www.visitcalifornia.com/node/16091
33,8 Top Places Whale Watching Visit California,2016-12-21,http://www.visitcalifornia.com/node/16096
34,Gli 8 luoghi migliori cui osservare le balene Visit California,2016-12-21,http://www.visitcalifornia.com/node/16101
35,Ocho lugares ideales para avistaje de ballenas Visit California,2016-12-21,http://www.visitcalifornia.com/node/16106
39,8 Top Places Whale Watching Visit California,2016-12-21,http://www.visitcalifornia.com/node/16111
40,8 Visit California,2016-12-21,http://www.visitcalifornia.com/node/16116
42,Visit California,2016-12-21,http://www.visitcalifornia.com/node/16121
43,Visit California,2016-12-21,http://www.visitcalifornia.com/node/16126
44,Spotlight Big Sur Visit California,2016-12-21,http://www.visitcalifornia.com/node/16131
45,Spotlight Big Sur Visit California,2017-12-25,http://www.visitcalifornia.com/node/16131
