Row,Header,Timestamp,URL
0,More Resources Visit California,20161224,http://www.visitcalifornia.com/node/16026/more-resources?source=28241&interests=71%2B66
1,More Resources Visit California,20170926,http://www.visitcalifornia.com/node/16026/more-resources?source=26071&interests=76
2,More Resources Visit California,20161226,http://www.visitcalifornia.com/node/16026/more-resources?source=26291&interests=76
3,More Resources Visit California,20161226,http://www.visitcalifornia.com/node/16026/more-resources?source=40401&interests=76
4,More Resources Visit California,20161226,http://www.visitcalifornia.com/node/16026/more-resources?source=68506&interests=86
5,More Resources Visit California,20161226,http://www.visitcalifornia.com/node/16026/more-resources?source=68586&interests=86
6,More Resources Visit California,20161226,http://www.visitcalifornia.com/node/16026/more-resources?source=68696&interests=86
7,More Resources Visit California,20170926,http://www.visitcalifornia.com/node/16026/more-resources?source=26346&interests=86%2B76
8,More Resources Visit California,20170926,http://www.visitcalifornia.com/node/16026/more-resources?source=27691&interests=86%2B76
9,Spotlight Santa Barbara Visit California,20161225,http://www.visitcalifornia.com/node/16031
10,Spotlight Santa Barbara Visit California,20171220,http://www.visitcalifornia.com/node/16031
11,Destaque Santa Barbara Visit California,20161225,http://www.visitcalifornia.com/node/16036
12,Spotlight Santa Barbara Visit California,20161225,http://www.visitcalifornia.com/node/16041
13,Spotlight Santa Barbara Visit California,20161225,http://www.visitcalifornia.com/node/16046
14,Focus Santa Barbara Visit California,20161225,http://www.visitcalifornia.com/node/16051
15,Santa Barbara Visit California,20161225,http://www.visitcalifornia.com/node/16056
16,Santa Barbara Visit California,20171225,http://www.visitcalifornia.com/node/16056
17,Santa Barbara Visit California,20190226,https://www.visitcalifornia.com/node/16056
18,Spotlight Santa Barbara Visit California,20161225,http://www.visitcalifornia.com/node/16061
19,Spotlight Santa Barbara Visit California,20171225,http://www.visitcalifornia.com/node/16061
20,Visit California,20161225,http://www.visitcalifornia.com/node/16066
21,Spotlight Visit California,20161225,http://www.visitcalifornia.com/node/16071
22,Spotlight Visit California,20171220,http://www.visitcalifornia.com/node/16071
23,Spotlight Visit California,20161225,http://www.visitcalifornia.com/node/16076
24,Spotlight Visit California,20170926,http://www.visitcalifornia.com/node/16076
25,Spotlight Visit California,20171220,http://www.visitcalifornia.com/node/16076
26,8 Top Places for Whale Watching Visit California,20161221,http://www.visitcalifornia.com/node/16081
27,8 Top Places for Whale Watching Visit California,20161226,http://www.visitcalifornia.com/node/16081/interest/71
29,8 lugares principais para observar baleias Visit California,20161221,http://www.visitcalifornia.com/node/16086
30,8 lugares principais para observar baleias Visit California,20161227,http://www.visitcalifornia.com/node/16086/interest/71
32,Les 8 meilleurs sites pour observer les baleines Visit California,20161221,http://www.visitcalifornia.com/node/16091
33,8 Top Places for Whale Watching Visit California,20161221,http://www.visitcalifornia.com/node/16096
34,Gli 8 luoghi migliori in cui osservare le balene Visit California,20161221,http://www.visitcalifornia.com/node/16101
35,Ocho lugares ideales para avistaje de ballenas Visit California,20161221,http://www.visitcalifornia.com/node/16106
39,8 Top Places for Whale Watching Visit California,20161221,http://www.visitcalifornia.com/node/16111
40,8 Visit California,20161221,http://www.visitcalifornia.com/node/16116
41,301 Moved Permanently,20181205,http://www.visitcalifornia.com/node/16116
42,Visit California,20161221,http://www.visitcalifornia.com/node/16121
43,Visit California,20161221,http://www.visitcalifornia.com/node/16126
44,Spotlight Big Sur Visit California,20161221,http://www.visitcalifornia.com/node/16131
45,Spotlight Big Sur Visit California,20171225,http://www.visitcalifornia.com/node/16131
46,Spotlight Big Sur Visit California,20161226,http://www.visitcalifornia.com/node/16131/interest/71
48,Destaque Big Sur Visit California,20161222,http://www.visitcalifornia.com/node/16136
49,Destaque Big Sur Visit California,20171220,http://www.visitcalifornia.com/node/16136
50,301 Moved Permanently,20181204,http://www.visitcalifornia.com/node/16136
51,Destaque Big Sur Visit California,20161227,http://www.visitcalifornia.com/node/16136/interest/71
53,Spotlight Big Sur Visit California,20161222,http://www.visitcalifornia.com/node/16141
54,Spotlight Big Sur Visit California,20171222,http://www.visitcalifornia.com/node/16141
55,Spotlight Big Sur Visit California,20161222,http://www.visitcalifornia.com/node/16146
56,Spotlight Big Sur Visit California,20171222,http://www.visitcalifornia.com/node/16146
57,Focus Big Sur Visit California,20161222,http://www.visitcalifornia.com/node/16151
58,Big Sur Visit California,20161226,http://www.visitcalifornia.com/node/16156
59,Big Sur Visit California,20171220,http://www.visitcalifornia.com/node/16156
60,Spotlight Big Sur Visit California,20171222,http://www.visitcalifornia.com/node/16161
61,Visit California,20171220,http://www.visitcalifornia.com/node/16166
62,301 Moved Permanently,20181206,http://www.visitcalifornia.com/node/16166
63,Visit California,20190225,https://www.visitcalifornia.com/node/16166
64,Spotlight Visit California,20161222,http://www.visitcalifornia.com/node/16171
65,Spotlight Visit California,20161222,http://www.visitcalifornia.com/node/16176
66,Spotlight Visit California,20171220,http://www.visitcalifornia.com/node/16176
67,Spotlight Monterey Carmel Visit California,20161224,http://www.visitcalifornia.com/node/16181
68,Spotlight Monterey Carmel Visit California,20171220,http://www.visitcalifornia.com/node/16181
69,Destaque Monterey Carmel Visit California,20161224,http://www.visitcalifornia.com/node/16186
70,301 Moved Permanently,20181204,http://www.visitcalifornia.com/node/16186
71,Spotlight Monterey et Carmel Visit California,20161224,http://www.visitcalifornia.com/node/16191
72,Spotlight Monterey et Carmel Visit California,20190226,https://www.visitcalifornia.com/node/16191
73,Spotlight Monterey Carmel Visit California,20161225,http://www.visitcalifornia.com/node/16196
74,Spotlight Monterey Carmel Visit California,20171220,http://www.visitcalifornia.com/node/16196
75,Focus Monterey Carmel Visit California,20161224,http://www.visitcalifornia.com/node/16201
76,Focus Monterey Carmel Visit California,20190226,https://www.visitcalifornia.com/node/16201
77,Monterey y Carmel Visit California,20161224,http://www.visitcalifornia.com/node/16206
78,Monterey y Carmel Visit California,20171225,http://www.visitcalifornia.com/node/16206
85,Discover San Diego County More Resources Visit California,20161225,http://www.visitcalifornia.com/node/1621/more-resources
86,Discover San Diego County More Resources Visit California,20170302,http://www.visitcalifornia.com/node/1621/more-resources
87,Discover San Diego County More Resources Visit California,20170708,http://www.visitcalifornia.com/node/1621/more-resources
88,Discover San Diego County More Resources Visit California,20171221,http://www.visitcalifornia.com/node/1621/more-resources
89,Discover San Diego County More Resources Visit California,20190225,https://www.visitcalifornia.com/node/1621/more-resources
90,Spotlight Monterey Carmel Visit California,20161225,http://www.visitcalifornia.com/node/16211
91,Spotlight Monterey Carmel Visit California,20171220,http://www.visitcalifornia.com/node/16211
92,Visit California,20161224,http://www.visitcalifornia.com/node/16216
93,Visit California,20171222,http://www.visitcalifornia.com/node/16216
94,Spotlight Visit California,20161224,http://www.visitcalifornia.com/node/16221
95,Spotlight Visit California,20171220,http://www.visitcalifornia.com/node/16221
96,Spotlight Visit California,20190226,https://www.visitcalifornia.com/node/16221
97,Spotlight Visit California,20161224,http://www.visitcalifornia.com/node/16226
98,Pebble Beach Food Wine Visit California,20161226,http://www.visitcalifornia.com/node/16231
99,Pebble Beach Food Wine Visit California,20171225,http://www.visitcalifornia.com/node/16231
100,Pebble Beach Food Wine Visit California,20161226,http://www.visitcalifornia.com/node/16231/interest/86
102,Pebble Beach Food Wine Visit California,20161227,http://www.visitcalifornia.com/node/16236
103,Pebble Beach Food Wine Visit California,20161227,http://www.visitcalifornia.com/node/16236/interest/86
105,Monterey Bay Aquarium Visit California,20161226,http://www.visitcalifornia.com/node/16281
106,Monterey Bay Aquarium Visit California,20171225,http://www.visitcalifornia.com/node/16281
107,Monterey Bay Aquarium Visit California,20161226,http://www.visitcalifornia.com/node/16281/interest/66
109,de Monterey Bay Monterey Bay Aquarium Visit California,20161227,http://www.visitcalifornia.com/node/16286
110,Monterey Bay Aquarium Visit California,20190227,https://www.visitcalifornia.com/node/16286
111,de Monterey Bay Monterey Bay Aquarium Visit California,20161227,http://www.visitcalifornia.com/node/16286/interest/66
113,Monterey Bay Aquarium Visit California,20171225,http://www.visitcalifornia.com/node/16311
114,Visit California,20190226,https://www.visitcalifornia.com/node/16321
115,ATT Pebble Beach National ProAm Visit California,20161226,http://www.visitcalifornia.com/node/16331
116,ATT Pebble Beach National ProAm Visit California,20171225,http://www.visitcalifornia.com/node/16331
117,ATT Pebble Beach National ProAm Visit California,20161226,http://www.visitcalifornia.com/node/16331/interest/71
118,ATT Pebble Beach National ProAm Visit California,20161226,http://www.visitcalifornia.com/node/16331/interest/86
120,ATT Pebble Beach National ProAm Visit California,20161227,http://www.visitcalifornia.com/node/16336
121,ATT Pebble Beach National ProAm Visit California,20161227,http://www.visitcalifornia.com/node/16336/interest/71
122,ATT Pebble Beach National ProAm Visit California,20161227,http://www.visitcalifornia.com/node/16336/interest/86
128,Castroville Artichoke Food Wine Festival Visit California,20161222,http://www.visitcalifornia.com/node/16386
129,Castroville Artichoke Food Wine Festival Visit California,20171222,http://www.visitcalifornia.com/node/16386
130,Festival Castroville Artichoke Food Wine Visit California,20161222,http://www.visitcalifornia.com/node/16391
131,Festival de Alcachofra e Vinho de Castroville Visit California,20171222,http://www.visitcalifornia.com/node/16391
132,Castroville Artichoke Food Wine Festival Visit California,20161222,http://www.visitcalifornia.com/node/16396
133,Castroville Artichoke Food Wine Festival Visit California,20171222,http://www.visitcalifornia.com/node/16396
134,Castroville Artichoke Food Wine Festival Visit California,20161222,http://www.visitcalifornia.com/node/16401
135,Castroville Artichoke Food Wine Festival Visit California,20171222,http://www.visitcalifornia.com/node/16401
136,Festival di Carciofi e Vino a Castroville Visit California,20161222,http://www.visitcalifornia.com/node/16406
137,Festival di Carciofi e Vino a Castroville Visit California,20171222,http://www.visitcalifornia.com/node/16406
144,Festival de la Alcachofa de Castroville Visit California,20161222,http://www.visitcalifornia.com/node/16411
145,Festival de la Alcachofa de Castroville Visit California,20171222,http://www.visitcalifornia.com/node/16411
146,Castroville Artichoke Food Wine Festival Visit California,20161222,http://www.visitcalifornia.com/node/16416
147,Castroville Artichoke Food Wine Festival Visit California,20171222,http://www.visitcalifornia.com/node/16416
148,Visit California,20161222,http://www.visitcalifornia.com/node/16421
149,Visit California,20171222,http://www.visitcalifornia.com/node/16421
